Daerah,Tahun,Bulan,Week,STO,DOMAIN TOTAL INCIDENT,DOMAIN ACHIEVED,FIBER TOTAL INCIDENT,FIBER ACHIEVED,ODP TOTAL INCIDENT,ODP ACHIEVED,ODC TOTAL INCIDENT,ODC ACHIEVED
Bogor,2026,Juli,W1,BGL,8,7,10,9,5,4,2,1
Bogor,2026,Juli,W1,BJD,12,11,8,6,10,10,6,5
Bogor,2026,Juli,W1,BOO,15,14,20,18,10,9,8,7
Bogor,2026,Juli,W1,CAU,6,4,10,7,4,3,5,4
Bogor,2026,Juli,W1,CBD,25,23,18,17,12,11,10,9
Bogor,2026,Juli,W1,CBI,10,8,12,10,8,7,6,5
Bogor,2026,Juli,W1,CBN,16,15,14,13,10,9,8,8
Bekasi,2026,Juli,W1,BEK,20,18,15,14,12,11,10,9
Bekasi,2026,Juli,W1,CNE,12,10,10,9,8,7,6,5
Bekasi,2026,Juli,W1,CSL,14,11,12,9,10,8,8,6
Karawang,2026,Juli,W1,KRW,22,20,18,17,15,14,12,11
Karawang,2026,Juli,W1,CKP,15,13,12,10,10,9,8,7
Karawang,2026,Juli,W1,PWK,18,16,14,12,10,9,8,7
